Title,ID,SYSID,NameMAC,DescriptionMAC,Status,Duration,Fre,QRCode,Modified,Created,Modified By
,"70","12","Chiller 120HP H",,"1","90","480","HMP-Cooling Tower và Chiller-Chiller 120HP H","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"71","12","Chiller 60HP Aus",,"1","90","480","HMP-Cooling Tower và Chiller-Chiller 60HP Aus","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"72","12","Chiller Blomax12",,"1","90","480","HMP-Cooling Tower và Chiller-Chiller Blomax12","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"73","12","Chiller AHU Syrup sugar",,"1","90","480","HMP-Cooling Tower và Chiller-Chiller AHU Syrup sugar","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"74","12","Chiller AHU Filler C",,"1","90","480","HMP-Cooling Tower và Chiller-Chiller AHU Filler C","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"75","12","Chiller 150HP Line K",,"1","90","480","HMP-Cooling Tower và Chiller-Chiller 150HP Line K","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"76","12","Chiller AHU G-H-SY",,"1","90","480","HMP-Cooling Tower và Chiller-Chiller AHU G-H-SY","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"77","12","Chiller AHU A-WH",,"1","90","480","HMP-Cooling Tower và Chiller-Chiller AHU A-WH","8/28/2021 3:48 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"78","13","Mycom No.1 ( Piston)",,"1","60","120","CTP-Hệ thống lạnh NH3-Mycom No.1 ( Piston)","3/2/2022 8:41 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"79","13","Mycom No.2 ( Piston)",,"1","60","120","CTP-Hệ thống lạnh NH3-Mycom No.2 ( Piston)","3/2/2022 8:41 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"80","13","Mycom No.3 ( Piston )",,"1","60","120","CTP-Hệ thống lạnh NH3-Mycom No.3 ( Piston )","3/2/2022 8:42 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"81","13","Mycom No.4 ( Piston)",,"1","60","120","CTP-Hệ thống lạnh NH3-Mycom No.4 ( Piston)","3/2/2022 8:42 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"82","13","Mycom No.5 ( Piston)",,"1","60","120","CTP-Hệ thống lạnh NH3-Mycom No.5 ( Piston)","3/2/2022 8:42 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"83","13","Mycom No.6 ( Piston)",,"1","60","120","CTP-Hệ thống lạnh NH3-Mycom No.6 ( Piston)","3/2/2022 8:42 AM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
