Title_x,MACID,SYSID,NameMAC,DescriptionMAC,Status,Duration,Fre,QRCode_x,Modified_x,Created_x,Modified By,Title_y,PLANTID,NameSYS,DescriptionSYS,QRCode_y,Modified_y,Created_y,Title,NameP,AddressP
,50,10,IR132 No.2,,1,90,240,HMP-LP AC-IR132 No.2,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,LP AC,Hệ thống LP AC,HMP-LP AC,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,51,10,IR90 No.3,,1,90,240,HMP-LP AC-IR90 No.3,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,LP AC,Hệ thống LP AC,HMP-LP AC,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,52,10,IR132 No.4,,1,90,240,HMP-LP AC-IR132 No.4,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,LP AC,Hệ thống LP AC,HMP-LP AC,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,53,10,IR37 No.5,,0,90,240,HMP-LP AC-IR37 No.5,9/20/2022 9:18 PM,7/20/2021 2:27 AM,Uyen Lai Nha {SPVB},,5,LP AC,Hệ thống LP AC,HMP-LP AC,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,54,10,Khí thanh trùng line G,,1,90,240,HMP-LP AC-Sterilization Air G,8/30/2021 6:38 AM,7/20/2021 2:27 AM,Hung Tran Thanh {SPVB - Contractor},,5,LP AC,Hệ thống LP AC,HMP-LP AC,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,56,10,LP system,,1,90,240,HMP-LP AC-LP system,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,LP AC,Hệ thống LP AC,HMP-LP AC,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,57,11,Evaporizer No.1,,1,90,240,HMP-CO2 và N2-Evaporizer No.1,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,CO2 và N2,Hệ thống CO2 và N2,HMP-CO2 và N2,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,58,11,Evaporizer No.2,,1,90,240,HMP-CO2 và N2-Evaporizer No.2,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,CO2 và N2,Hệ thống CO2 và N2,HMP-CO2 và N2,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,59,11,Messer Tank,,1,90,240,HMP-CO2 và N2-Messer Tank,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,CO2 và N2,Hệ thống CO2 và N2,HMP-CO2 và N2,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
,60,11,ASCO TANK,,1,90,240,HMP-CO2 và N2-ASCO TANK,8/28/2021 3:48 AM,7/20/2021 2:27 AM,Tien Truong ThiHanh {SPVB - Contractor},,5,CO2 và N2,Hệ thống CO2 và N2,HMP-CO2 và N2,7/23/2021 7:46 AM,7/19/2021 8:31 PM,HMP,HCM Plant,12 KCN
